team1,team2,match_date,toss_winner,toss_decision,winner,player_of_match,venue,season,match_type
Mumbai Indians,Delhi Daredevils,14-04-2018,Delhi Daredevils,field,Delhi Daredevils,JJ Roy,Wankhede Stadium,11,League
Kolkata Knight Riders,Sunrisers Hyderabad,14-04-2018,Sunrisers Hyderabad,field,Sunrisers Hyderabad,B Stanlake,Eden Gardens,11,League
Rajasthan Royals,Royal Challengers Bangalore,15-04-2018,Royal Challengers Bangalore,field,Rajasthan Royals,SV Samson,M.Chinnaswamy Stadium,11,League
Kings XI Punjab,Chennai Super Kings,15-04-2018,Chennai Super Kings,field,Kings XI Punjab,CH Gayle,Punjab Cricket Association IS Bindra Stadium,11,League
Kolkata Knight Riders,Delhi Daredevils,16-04-2018,Delhi Daredevils,field,Kolkata Knight Riders,N Rana,Eden Gardens,11,League
Mumbai Indians,Royal Challengers Bangalore,17-04-2018,Royal Challengers Bangalore,field,Mumbai Indians,RG Sharma,Wankhede Stadium,11,League
Rajasthan Royals,Kolkata Knight Riders,18-04-2018,Kolkata Knight Riders,field,Kolkata Knight Riders,N Rana,Sawai Mansingh Stadium,11,League
Kings XI Punjab,Sunrisers Hyderabad,19-04-2018,Kings XI Punjab,bat,Kings XI Punjab,CH Gayle,Punjab Cricket Association IS Bindra Stadium,11,League
Chennai Super Kings,Rajasthan Royals,20-04-2018,Rajasthan Royals,field,Chennai Super Kings,SR Watson,Maharashtra Cricket Association Stadium,11,League
Delhi Daredevils,Royal Challengers Bangalore,21-04-2018,Royal Challengers Bangalore,field,Royal Challengers Bangalore,AB de Villiers,M.Chinnaswamy Stadium,11,League
Kolkata Knight Riders,Kings XI Punjab,21-04-2018,Kings XI Punjab,field,Kings XI Punjab,KL Rahul,Eden Gardens,11,League
Mumbai Indians,Rajasthan Royals,22-04-2018,Mumbai Indians,bat,Rajasthan Royals,JC Archer,Sawai Mansingh Stadium,11,League
Chennai Super Kings,Sunrisers Hyderabad,22-04-2018,Sunrisers Hyderabad,field,Chennai Super Kings,AT Rayudu,Rajiv Gandhi International Stadium,11,League
Kings XI Punjab,Delhi Daredevils,23-04-2018,Delhi Daredevils,field,Kings XI Punjab,AS Rajpoot,Arun Jaitley Stadium,11,League
Sunrisers Hyderabad,Mumbai Indians,24-04-2018,Mumbai Indians,field,Sunrisers Hyderabad,Rashid Khan,Wankhede Stadium,11,League
Royal Challengers Bangalore,Chennai Super Kings,25-04-2018,Chennai Super Kings,field,Chennai Super Kings,MS Dhoni,M.Chinnaswamy Stadium,11,League
Sunrisers Hyderabad,Kings XI Punjab,26-04-2018,Kings XI Punjab,field,Sunrisers Hyderabad,AS Rajpoot,Rajiv Gandhi International Stadium,11,League
Delhi Daredevils,Kolkata Knight Riders,27-04-2018,Kolkata Knight Riders,field,Delhi Daredevils,SS Iyer,Arun Jaitley Stadium,11,League
Chennai Super Kings,Mumbai Indians,28-04-2018,Mumbai Indians,field,Mumbai Indians,RG Sharma,Maharashtra Cricket Association Stadium,11,League
Sunrisers Hyderabad,Rajasthan Royals,29-04-2018,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,KS Williamson,Sawai Mansingh Stadium,11,League
Royal Challengers Bangalore,Kolkata Knight Riders,29-04-2018,Kolkata Knight Riders,field,Kolkata Knight Riders,CA Lynn,M.Chinnaswamy Stadium,11,League
Chennai Super Kings,Delhi Daredevils,30-04-2018,Delhi Daredevils,field,Chennai Super Kings,SR Watson,Maharashtra Cricket Association Stadium,11,League
Royal Challengers Bangalore,Mumbai Indians,01-05-2018,Mumbai Indians,field,Royal Challengers Bangalore,TG Southee,M.Chinnaswamy Stadium,11,League
Delhi Daredevils,Rajasthan Royals,02-05-2018,Rajasthan Royals,field,Delhi Daredevils,RR Pant,Arun Jaitley Stadium,11,League
Chennai Super Kings,Kolkata Knight Riders,03-05-2018,Kolkata Knight Riders,field,Kolkata Knight Riders,SP Narine,Eden Gardens,11,League
Kings XI Punjab,Mumbai Indians,04-05-2018,Mumbai Indians,field,Mumbai Indians,SA Yadav,Holkar Cricket Stadium,11,League
Royal Challengers Bangalore,Chennai Super Kings,05-05-2018,Chennai Super Kings,field,Chennai Super Kings,RA Jadeja,Maharashtra Cricket Association Stadium,11,League
Delhi Daredevils,Sunrisers Hyderabad,05-05-2018,Delhi Daredevils,bat,Sunrisers Hyderabad,Rashid Khan,Rajiv Gandhi International Stadium,11,League
Rajasthan Royals,Kings XI Punjab,06-05-2018,Kings XI Punjab,field,Kings XI Punjab,Mujeeb Ur Rahman,Holkar Cricket Stadium,11,League
Mumbai Indians,Kolkata Knight Riders,06-05-2018,Kolkata Knight Riders,field,Mumbai Indians,HH Pandya,Wankhede Stadium,11,League
Sunrisers Hyderabad,Royal Challengers Bangalore,07-05-2018,Royal Challengers Bangalore,field,Sunrisers Hyderabad,KS Williamson,Rajiv Gandhi International Stadium,11,League
Rajasthan Royals,Kings XI Punjab,08-05-2018,Rajasthan Royals,bat,Rajasthan Royals,JC Buttler,Sawai Mansingh Stadium,11,League
Mumbai Indians,Kolkata Knight Riders,09-05-2018,Kolkata Knight Riders,field,Mumbai Indians,Ishan Kishan,Eden Gardens,11,League
Delhi Daredevils,Sunrisers Hyderabad,10-05-2018,Delhi Daredevils,bat,Sunrisers Hyderabad,S Dhawan,Arun Jaitley Stadium,11,League
Chennai Super Kings,Rajasthan Royals,11-05-2018,Chennai Super Kings,bat,Rajasthan Royals,JC Buttler,Sawai Mansingh Stadium,11,League
Delhi Daredevils,Royal Challengers Bangalore,12-05-2018,Royal Challengers Bangalore,field,Royal Challengers Bangalore,AB de Villiers,Arun Jaitley Stadium,11,League
Kolkata Knight Riders,Kings XI Punjab,12-05-2018,Kings XI Punjab,field,Kolkata Knight Riders,SP Narine,Holkar Cricket Stadium,11,League
Mumbai Indians,Rajasthan Royals,13-05-2018,Rajasthan Royals,field,Rajasthan Royals,JC Buttler,Wankhede Stadium,11,League
Sunrisers Hyderabad,Chennai Super Kings,13-05-2018,Chennai Super Kings,field,Chennai Super Kings,AT Rayudu,Maharashtra Cricket Association Stadium,11,League
Kings XI Punjab,Royal Challengers Bangalore,14-05-2018,Royal Challengers Bangalore,field,Royal Challengers Bangalore,UT Yadav,Holkar Cricket Stadium,11,League
Rajasthan Royals,Kolkata Knight Riders,15-05-2018,Kolkata Knight Riders,field,Kolkata Knight Riders,Kuldeep Yadav,Eden Gardens,11,League
Mumbai Indians,Kings XI Punjab,16-05-2018,Kings XI Punjab,field,Mumbai Indians,JJ Bumrah,Wankhede Stadium,11,League
Royal Challengers Bangalore,Sunrisers Hyderabad,17-05-2018,Sunrisers Hyderabad,field,Royal Challengers Bangalore,AB de Villiers,M.Chinnaswamy Stadium,11,League
Delhi Daredevils,Chennai Super Kings,18-05-2018,Chennai Super Kings,field,Delhi Daredevils,HV Patel,Arun Jaitley Stadium,11,League
Rajasthan Royals,Royal Challengers Bangalore,19-05-2018,Rajasthan Royals,bat,Rajasthan Royals,S Gopal,Sawai Mansingh Stadium,11,League
Sunrisers Hyderabad,Kolkata Knight Riders,19-05-2018,Sunrisers Hyderabad,bat,Kolkata Knight Riders,CA Lynn,Rajiv Gandhi International Stadium,11,League
Kings XI Punjab,Chennai Super Kings,20-05-2018,Chennai Super Kings,field,Chennai Super Kings,L Ngidi,Maharashtra Cricket Association Stadium,11,League
Delhi Daredevils,Mumbai Indians,20-05-2018,Delhi Daredevils,bat,Delhi Daredevils,A Mishra,Arun Jaitley Stadium,11,League
Sunrisers Hyderabad,Chennai Super Kings,22-05-2018,Chennai Super Kings,field,Chennai Super Kings,F du Plessis,Wankhede Stadium,11,Qualifier 1
Kolkata Knight Riders,Rajasthan Royals,23-05-2018,Rajasthan Royals,field,Kolkata Knight Riders,AD Russell,Eden Gardens,11,Eliminator
Sunrisers Hyderabad,Kolkata Knight Riders,25-05-2018,Kolkata Knight Riders,field,Sunrisers Hyderabad,Rashid Khan,Eden Gardens,11,Qualifier 2
Sunrisers Hyderabad,Chennai Super Kings,27-05-2018,Chennai Super Kings,field,Chennai Super Kings,SR Watson,Wankhede Stadium,11,Final
Royal Challengers Bangalore,Chennai Super Kings,23-03-2019,Chennai Super Kings,field,Chennai Super Kings,Harbhajan Singh,MA Chidambaram Stadium,12,League
