team1,team2,match_date,toss_winner,toss_decision,winner,player_of_match,venue,season,match_type
Rajasthan Royals,Royal Challengers Bangalore,26-04-2022,Royal Challengers Bangalore,field,Rajasthan Royals,R Parag,"Maharashtra Cricket Association Stadium, Pune",15,League
Sunrisers Hyderabad,Gujarat Titans,27-04-2022,Gujarat Titans,field,Gujarat Titans,Umran Malik,"Wankhede Stadium, Mumbai",15,League
Kolkata Knight Riders,Delhi Capitals,28-04-2022,Delhi Capitals,field,Delhi Capitals,Kuldeep Yadav,"Wankhede Stadium, Mumbai",15,League
Lucknow Super Giants,Punjab Kings,29-04-2022,Punjab Kings,field,Lucknow Super Giants,KH Pandya,"Maharashtra Cricket Association Stadium, Pune",15,League
Royal Challengers Bangalore,Gujarat Titans,30-04-2022,Royal Challengers Bangalore,bat,Gujarat Titans,R Tewatia,"Brabourne Stadium, Mumbai",15,League
Rajasthan Royals,Mumbai Indians,30-04-2022,Mumbai Indians,field,Mumbai Indians,SA Yadav,"Dr DY Patil Sports Academy, Mumbai",15,League
Lucknow Super Giants,Delhi Capitals,01-05-2022,Lucknow Super Giants,bat,Lucknow Super Giants,Mohsin Khan,"Wankhede Stadium, Mumbai",15,League
Chennai Super Kings,Sunrisers Hyderabad,01-05-2022,Sunrisers Hyderabad,field,Chennai Super Kings,RD Gaikwad,"Maharashtra Cricket Association Stadium, Pune",15,League
Rajasthan Royals,Kolkata Knight Riders,02-05-2022,Kolkata Knight Riders,field,Kolkata Knight Riders,RK Singh,"Wankhede Stadium, Mumbai",15,League
Gujarat Titans,Punjab Kings,03-05-2022,Gujarat Titans,bat,Punjab Kings,K Rabada,"Dr DY Patil Sports Academy, Mumbai",15,League
Royal Challengers Bangalore,Chennai Super Kings,04-05-2022,Chennai Super Kings,field,Royal Challengers Bangalore,HV Patel,"Maharashtra Cricket Association Stadium, Pune",15,League
Delhi Capitals,Sunrisers Hyderabad,05-05-2022,Sunrisers Hyderabad,field,Delhi Capitals,DA Warner,"Brabourne Stadium, Mumbai",15,League
Mumbai Indians,Gujarat Titans,06-05-2022,Gujarat Titans,field,Mumbai Indians,TH David,"Brabourne Stadium, Mumbai",15,League
Lucknow Super Giants,Kolkata Knight Riders,07-05-2022,Kolkata Knight Riders,field,Lucknow Super Giants,Avesh Khan,"Maharashtra Cricket Association Stadium, Pune",15,League
Punjab Kings,Rajasthan Royals,07-05-2022,Punjab Kings,bat,Rajasthan Royals,YBK Jaiswal,"Wankhede Stadium, Mumbai",15,League
Chennai Super Kings,Delhi Capitals,08-05-2022,Delhi Capitals,field,Chennai Super Kings,DP Conway,"Dr DY Patil Sports Academy, Mumbai",15,League
Royal Challengers Bangalore,Sunrisers Hyderabad,08-05-2022,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,PWH de Silva,"Wankhede Stadium, Mumbai",15,League
Kolkata Knight Riders,Mumbai Indians,09-05-2022,Mumbai Indians,field,Kolkata Knight Riders,JJ Bumrah,"Dr DY Patil Sports Academy, Mumbai",15,League
Gujarat Titans,Lucknow Super Giants,10-05-2022,Gujarat Titans,bat,Gujarat Titans,Shubman Gill,"Maharashtra Cricket Association Stadium, Pune",15,League
Rajasthan Royals,Delhi Capitals,11-05-2022,Delhi Capitals,field,Delhi Capitals,MR Marsh,"Dr DY Patil Sports Academy, Mumbai",15,League
Chennai Super Kings,Mumbai Indians,12-05-2022,Mumbai Indians,field,Mumbai Indians,DR Sams,"Wankhede Stadium, Mumbai",15,League
Punjab Kings,Royal Challengers Bangalore,13-05-2022,Royal Challengers Bangalore,field,Punjab Kings,JM Bairstow,"Brabourne Stadium, Mumbai",15,League
Kolkata Knight Riders,Sunrisers Hyderabad,14-05-2022,Kolkata Knight Riders,bat,Kolkata Knight Riders,AD Russell,"Maharashtra Cricket Association Stadium, Pune",15,League
Rajasthan Royals,Lucknow Super Giants,15-05-2022,Rajasthan Royals,bat,Rajasthan Royals,TA Boult,"Brabourne Stadium, Mumbai",15,League
Chennai Super Kings,Gujarat Titans,15-05-2022,Chennai Super Kings,bat,Gujarat Titans,WP Saha,"Wankhede Stadium, Mumbai",15,League
Delhi Capitals,Punjab Kings,16-05-2022,Punjab Kings,field,Delhi Capitals,SN Thakur,"Dr DY Patil Sports Academy, Mumbai",15,League
Sunrisers Hyderabad,Mumbai Indians,17-05-2022,Mumbai Indians,field,Sunrisers Hyderabad,RA Tripathi,"Wankhede Stadium, Mumbai",15,League
Lucknow Super Giants,Kolkata Knight Riders,18-05-2022,Lucknow Super Giants,bat,Lucknow Super Giants,Q de Kock,"Dr DY Patil Sports Academy, Mumbai",15,League
Gujarat Titans,Royal Challengers Bangalore,19-05-2022,Gujarat Titans,bat,Royal Challengers Bangalore,V Kohli,"Wankhede Stadium, Mumbai",15,League
Chennai Super Kings,Rajasthan Royals,20-05-2022,Chennai Super Kings,bat,Rajasthan Royals,R Ashwin,"Brabourne Stadium, Mumbai",15,League
Delhi Capitals,Mumbai Indians,21-05-2022,Mumbai Indians,field,Mumbai Indians,JJ Bumrah,"Wankhede Stadium, Mumbai",15,League
Sunrisers Hyderabad,Punjab Kings,22-05-2022,Sunrisers Hyderabad,bat,Punjab Kings,Harpreet Brar,"Wankhede Stadium, Mumbai",15,League
Rajasthan Royals,Gujarat Titans,24-05-2022,Gujarat Titans,field,Gujarat Titans,DA Miller,"Eden Gardens, Kolkata",15,Qualifier 1
Royal Challengers Bangalore,Lucknow Super Giants,25-05-2022,Lucknow Super Giants,field,Royal Challengers Bangalore,RM Patidar,"Eden Gardens, Kolkata",15,Eliminator
Royal Challengers Bangalore,Rajasthan Royals,27-05-2022,Rajasthan Royals,field,Rajasthan Royals,JC Buttler,"Narendra Modi Stadium, Ahmedabad",15,Qualifier 2
Rajasthan Royals,Gujarat Titans,29-05-2022,Rajasthan Royals,bat,Gujarat Titans,HH Pandya,"Narendra Modi Stadium, Ahmedabad",15,Final
Chennai Super Kings,Gujarat Titans,31-03-2023,Gujarat Titans,field,Gujarat Titans,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",16,League
Punjab Kings,Kolkata Knight Riders,01-04-2023,Kolkata Knight Riders,field,Punjab Kings,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",16,League
Lucknow Super Giants,Delhi Capitals,01-04-2023,Delhi Capitals,field,Lucknow Super Giants,MA Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",16,League
Rajasthan Royals,Sunrisers Hyderabad,02-04-2023,Sunrisers Hyderabad,field,Rajasthan Royals,JC Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",16,League
Mumbai Indians,Royal Challengers Bangalore,02-04-2023,Royal Challengers Bangalore,field,Royal Challengers Bangalore,F du Plessis,"M Chinnaswamy Stadium, Bengaluru",16,League
Chennai Super Kings,Lucknow Super Giants,03-04-2023,Lucknow Super Giants,field,Chennai Super Kings,MM Ali,"MA Chidambaram Stadium, Chepauk, Chennai",16,League
Delhi Capitals,Gujarat Titans,04-04-2023,Gujarat Titans,field,Gujarat Titans,B Sai Sudharsan,"Arun Jaitley Stadium, Delhi",16,League
Punjab Kings,Rajasthan Royals,05-04-2023,Rajasthan Royals,field,Punjab Kings,NT Ellis,"Barsapara Cricket Stadium, Guwahati",16,League
Kolkata Knight Riders,Royal Challengers Bangalore,06-04-2023,Royal Challengers Bangalore,field,Kolkata Knight Riders,SN Thakur,"Eden Gardens, Kolkata",16,League
Sunrisers Hyderabad,Lucknow Super Giants,07-04-2023,Sunrisers Hyderabad,bat,Lucknow Super Giants,KH Pandya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",16,League
Rajasthan Royals,Delhi Capitals,08-04-2023,Delhi Capitals,field,Rajasthan Royals,YBK Jaiswal,"Barsapara Cricket Stadium, Guwahati",16,League
Mumbai Indians,Chennai Super Kings,08-04-2023,Chennai Super Kings,field,Chennai Super Kings,RA Jadeja,"Wankhede Stadium, Mumbai",16,League
Punjab Kings,Sunrisers Hyderabad,09-04-2023,Sunrisers Hyderabad,field,Sunrisers Hyderabad,S Dhawan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",16,League
Gujarat Titans,Kolkata Knight Riders,09-04-2023,Gujarat Titans,bat,Kolkata Knight Riders,RK Singh,"Narendra Modi Stadium, Ahmedabad",16,League
Royal Challengers Bangalore,Lucknow Super Giants,10-04-2023,Lucknow Super Giants,field,Lucknow Super Giants,N Pooran,"M Chinnaswamy Stadium, Bengaluru",16,League
Delhi Capitals,Mumbai Indians,11-04-2023,Mumbai Indians,field,Mumbai Indians,RG Sharma,"Arun Jaitley Stadium, Delhi",16,League
Rajasthan Royals,Chennai Super Kings,12-04-2023,Chennai Super Kings,field,Rajasthan Royals,R Ashwin,"MA Chidambaram Stadium, Chepauk, Chennai",16,League
Punjab Kings,Gujarat Titans,13-04-2023,Gujarat Titans,field,Gujarat Titans,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",16,League
Sunrisers Hyderabad,Kolkata Knight Riders,14-04-2023,Kolkata Knight Riders,field,Sunrisers Hyderabad,HC Brook,"Eden Gardens, Kolkata",16,League
Royal Challengers Bangalore,Delhi Capitals,15-04-2023,Delhi Capitals,field,Royal Challengers Bangalore,V Kohli,"M Chinnaswamy Stadium, Bengaluru",16,League
Lucknow Super Giants,Punjab Kings,15-04-2023,Punjab Kings,field,Punjab Kings,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",16,League
Kolkata Knight Riders,Mumbai Indians,16-04-2023,Mumbai Indians,field,Mumbai Indians,VR Iyer,"Wankhede Stadium, Mumbai",16,League
Gujarat Titans,Rajasthan Royals,16-04-2023,Rajasthan Royals,field,Rajasthan Royals,SO Hetmyer,"Narendra Modi Stadium, Ahmedabad",16,League
Chennai Super Kings,Royal Challengers Bangalore,17-04-2023,Royal Challengers Bangalore,field,Chennai Super Kings,DP Conway,"M Chinnaswamy Stadium, Bengaluru",16,League
Mumbai Indians,Sunrisers Hyderabad,18-04-2023,Sunrisers Hyderabad,field,Mumbai Indians,C Green,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",16,League
Lucknow Super Giants,Rajasthan Royals,19-04-2023,Rajasthan Royals,field,Lucknow Super Giants,MP Stoinis,"Sawai Mansingh Stadium, Jaipur",16,League
Royal Challengers Bangalore,Punjab Kings,20-04-2023,Punjab Kings,field,Royal Challengers Bangalore,Mohammed Siraj,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",16,League
Kolkata Knight Riders,Delhi Capitals,20-04-2023,Delhi Capitals,field,Delhi Capitals,I Sharma,"Arun Jaitley Stadium, Delhi",16,League
Sunrisers Hyderabad,Chennai Super Kings,21-04-2023,Chennai Super Kings,field,Chennai Super Kings,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",16,League
Punjab Kings,Mumbai Indians,22-04-2023,Mumbai Indians,field,Punjab Kings,SM Curran,"Wankhede Stadium, Mumbai",16,League
Gujarat Titans,Lucknow Super Giants,22-04-2023,Gujarat Titans,bat,Gujarat Titans,MM Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",16,League
Royal Challengers Bangalore,Rajasthan Royals,23-04-2023,Rajasthan Royals,field,Royal Challengers Bangalore,GJ Maxwell,"M Chinnaswamy Stadium, Bengaluru",16,League
Chennai Super Kings,Kolkata Knight Riders,23-04-2023,Kolkata Knight Riders,field,Chennai Super Kings,AM Rahane,"Eden Gardens, Kolkata",16,League
Delhi Capitals,Sunrisers Hyderabad,24-04-2023,Delhi Capitals,bat,Delhi Capitals,AR Patel,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",16,League
Gujarat Titans,Mumbai Indians,25-04-2023,Mumbai Indians,field,Gujarat Titans,A Manohar,"Narendra Modi Stadium, Ahmedabad",16,League
Kolkata Knight Riders,Royal Challengers Bangalore,26-04-2023,Royal Challengers Bangalore,field,Kolkata Knight Riders,CV Varun,"M Chinnaswamy Stadium, Bengaluru",16,League
Rajasthan Royals,Chennai Super Kings,27-04-2023,Rajasthan Royals,bat,Rajasthan Royals,YBK Jaiswal,"Sawai Mansingh Stadium, Jaipur",16,League
Lucknow Super Giants,Punjab Kings,28-04-2023,Punjab Kings,field,Lucknow Super Giants,MP Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",16,League
Sunrisers Hyderabad,Delhi Capitals,29-04-2023,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,MR Marsh,"Arun Jaitley Stadium, Delhi",16,League
Kolkata Knight Riders,Gujarat Titans,29-04-2023,Gujarat Titans,field,Gujarat Titans,J Little,"Eden Gardens, Kolkata",16,League
Rajasthan Royals,Mumbai Indians,30-04-2023,Rajasthan Royals,bat,Mumbai Indians,YBK Jaiswal,"Wankhede Stadium, Mumbai",16,League
Chennai Super Kings,Punjab Kings,30-04-2023,Chennai Super Kings,bat,Punjab Kings,DP Conway,"MA Chidambaram Stadium, Chepauk, Chennai",16,League
Royal Challengers Bangalore,Lucknow Super Giants,01-05-2023,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,F du Plessis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",16,League
Delhi Capitals,Gujarat Titans,02-05-2023,Delhi Capitals,bat,Delhi Capitals,Mohammed Shami,"Narendra Modi Stadium, Ahmedabad",16,League
Lucknow Super Giants,Chennai Super Kings,03-05-2023,Chennai Super Kings,field,,N,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",16,League
Punjab Kings,Mumbai Indians,03-05-2023,Mumbai Indians,field,Mumbai Indians,Ishan Kishan,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",16,League
Kolkata Knight Riders,Sunrisers Hyderabad,04-05-2023,Kolkata Knight Riders,bat,Kolkata Knight Riders,CV Varun,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",16,League
Rajasthan Royals,Gujarat Titans,05-05-2023,Rajasthan Royals,bat,Gujarat Titans,Rashid Khan,"Sawai Mansingh Stadium, Jaipur",16,League
Royal Challengers Bangalore,Delhi Capitals,06-05-2023,Royal Challengers Bangalore,bat,Delhi Capitals,PD Salt,"Arun Jaitley Stadium, Delhi",16,League
Mumbai Indians,Chennai Super Kings,06-05-2023,Chennai Super Kings,field,Chennai Super Kings,M Pathirana,"MA Chidambaram Stadium, Chepauk, Chennai",16,League
Gujarat Titans,Lucknow Super Giants,07-05-2023,Lucknow Super Giants,field,Gujarat Titans,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",16,League
Rajasthan Royals,Sunrisers Hyderabad,07-05-2023,Rajasthan Royals,bat,Sunrisers Hyderabad,GD Phillips,"Sawai Mansingh Stadium, Jaipur",16,League
Punjab Kings,Kolkata Knight Riders,08-05-2023,Punjab Kings,bat,Kolkata Knight Riders,AD Russell,"Eden Gardens, Kolkata",16,League
Royal Challengers Bangalore,Mumbai Indians,09-05-2023,Mumbai Indians,field,Mumbai Indians,SA Yadav,"Wankhede Stadium, Mumbai",16,League
Chennai Super Kings,Delhi Capitals,10-05-2023,Chennai Super Kings,bat,Chennai Super Kings,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",16,League
Kolkata Knight Riders,Rajasthan Royals,11-05-2023,Rajasthan Royals,field,Rajasthan Royals,YBK Jaiswal,"Eden Gardens, Kolkata",16,League
Mumbai Indians,Gujarat Titans,12-05-2023,Gujarat Titans,field,Mumbai Indians,SA Yadav,"Wankhede Stadium, Mumbai",16,League
Punjab Kings,Delhi Capitals,13-05-2023,Delhi Capitals,field,Punjab Kings,P Simran Singh,"Arun Jaitley Stadium, Delhi",16,League
Sunrisers Hyderabad,Lucknow Super Giants,13-05-2023,Sunrisers Hyderabad,bat,Lucknow Super Giants,PN Mankad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",16,League
Chennai Super Kings,Kolkata Knight Riders,14-05-2023,Chennai Super Kings,bat,Kolkata Knight Riders,RK Singh,"MA Chidambaram Stadium, Chepauk, Chennai",16,League
Royal Challengers Bangalore,Rajasthan Royals,14-05-2023,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,WD Parnell,"Sawai Mansingh Stadium, Jaipur",16,League
Gujarat Titans,Sunrisers Hyderabad,15-05-2023,Sunrisers Hyderabad,field,Gujarat Titans,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",16,League
Lucknow Super Giants,Mumbai Indians,16-05-2023,Mumbai Indians,field,Lucknow Super Giants,MP Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",16,League
Delhi Capitals,Punjab Kings,17-05-2023,Punjab Kings,field,Delhi Capitals,RR Rossouw,"Himachal Pradesh Cricket Association Stadium, Dharamsala",16,League
Sunrisers Hyderabad,Royal Challengers Bangalore,18-05-2023,Royal Challengers Bangalore,field,Royal Challengers Bangalore,V Kohli,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",16,League
Punjab Kings,Rajasthan Royals,19-05-2023,Rajasthan Royals,field,Rajasthan Royals,D Padikkal,"Himachal Pradesh Cricket Association Stadium, Dharamsala",16,League
Chennai Super Kings,Delhi Capitals,20-05-2023,Chennai Super Kings,bat,Chennai Super Kings,RD Gaikwad,"Arun Jaitley Stadium, Delhi",16,League
Lucknow Super Giants,Kolkata Knight Riders,20-05-2023,Kolkata Knight Riders,field,Lucknow Super Giants,N Pooran,"Eden Gardens, Kolkata",16,League
Royal Challengers Bangalore,Gujarat Titans,21-05-2023,Gujarat Titans,field,Gujarat Titans,Shubman Gill,"M Chinnaswamy Stadium, Bengaluru",16,League
Sunrisers Hyderabad,Mumbai Indians,21-05-2023,Mumbai Indians,field,Mumbai Indians,C Green,"Wankhede Stadium, Mumbai",16,League
Chennai Super Kings,Gujarat Titans,23-05-2023,Gujarat Titans,field,Chennai Super Kings,RD Gaikwad,"MA Chidambaram Stadium, Chepauk, Chennai",16,Qualifier 1
Mumbai Indians,Lucknow Super Giants,24-05-2023,Mumbai Indians,bat,Mumbai Indians,Akash Madhwal,"MA Chidambaram Stadium, Chepauk, Chennai",16,Eliminator
Gujarat Titans,Mumbai Indians,26-05-2023,Mumbai Indians,field,Gujarat Titans,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",16,Qualifier 2
Gujarat Titans,Chennai Super Kings,29-05-2023,Chennai Super Kings,field,Chennai Super Kings,DP Conway,"Narendra Modi Stadium, Ahmedabad",16,Final
Royal Challengers Bengaluru,Chennai Super Kings,22-03-2024,Royal Challengers Bengaluru,bat,Chennai Super Kings,Mustafizur Rahman,"MA Chidambaram Stadium, Chepauk, Chennai",17,League
Kolkata Knight Riders,Sunrisers Hyderabad,23-03-2024,Sunrisers Hyderabad,field,Kolkata Knight Riders,AD Russell,"Eden Gardens, Kolkata",17,League
Delhi Capitals,Punjab Kings,23-03-2024,Punjab Kings,field,Punjab Kings,SM Curran,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",17,League
Rajasthan Royals,Lucknow Super Giants,24-03-2024,Rajasthan Royals,bat,Rajasthan Royals,SV Samson,"Sawai Mansingh Stadium, Jaipur",17,League
Gujarat Titans,Mumbai Indians,24-03-2024,Mumbai Indians,field,Gujarat Titans,B Sai Sudharsan,"Narendra Modi Stadium, Ahmedabad",17,League
Punjab Kings,Royal Challengers Bengaluru,25-03-2024,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,V Kohli,"M Chinnaswamy Stadium, Bengaluru",17,League
Chennai Super Kings,Gujarat Titans,26-03-2024,Gujarat Titans,field,Chennai Super Kings,S Dube,"MA Chidambaram Stadium, Chepauk, Chennai",17,League
Sunrisers Hyderabad,Mumbai Indians,27-03-2024,Mumbai Indians,field,Sunrisers Hyderabad,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",17,League
Rajasthan Royals,Delhi Capitals,28-03-2024,Delhi Capitals,field,Rajasthan Royals,R Parag,"Sawai Mansingh Stadium, Jaipur",17,League
Royal Challengers Bengaluru,Kolkata Knight Riders,29-03-2024,Kolkata Knight Riders,field,Kolkata Knight Riders,SP Narine,"M Chinnaswamy Stadium, Bengaluru",17,League
Lucknow Super Giants,Punjab Kings,30-03-2024,Lucknow Super Giants,bat,Lucknow Super Giants,MP Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",17,League
Sunrisers Hyderabad,Gujarat Titans,31-03-2024,Sunrisers Hyderabad,bat,Gujarat Titans,MM Sharma,"Narendra Modi Stadium, Ahmedabad",17,League
Delhi Capitals,Chennai Super Kings,31-03-2024,Delhi Capitals,bat,Delhi Capitals,KK Ahmed,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",17,League
Mumbai Indians,Rajasthan Royals,01-04-2024,Rajasthan Royals,field,Rajasthan Royals,TA Boult,"Wankhede Stadium, Mumbai",17,League
Lucknow Super Giants,Royal Challengers Bengaluru,02-04-2024,Royal Challengers Bengaluru,field,Lucknow Super Giants,MP Yadav,"M Chinnaswamy Stadium, Bengaluru",17,League
Kolkata Knight Riders,Delhi Capitals,03-04-2024,Kolkata Knight Riders,bat,Kolkata Knight Riders,SP Narine,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",17,League
Gujarat Titans,Punjab Kings,04-04-2024,Punjab Kings,field,Punjab Kings,Shashank Singh,"Narendra Modi Stadium, Ahmedabad",17,League
Chennai Super Kings,Sunrisers Hyderabad,05-04-2024,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",17,League
Royal Challengers Bengaluru,Rajasthan Royals,06-04-2024,Rajasthan Royals,field,Rajasthan Royals,JC Buttler,"Sawai Mansingh Stadium, Jaipur",17,League
Lucknow Super Giants,Gujarat Titans,07-04-2024,Lucknow Super Giants,bat,Lucknow Super Giants,Yash Thakur,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",17,League
Mumbai Indians,Delhi Capitals,07-04-2024,Delhi Capitals,field,Mumbai Indians,R Shepherd,"Wankhede Stadium, Mumbai",17,League
Kolkata Knight Riders,Chennai Super Kings,08-04-2024,Chennai Super Kings,field,Chennai Super Kings,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",17,League
Sunrisers Hyderabad,Punjab Kings,09-04-2024,Punjab Kings,field,Sunrisers Hyderabad,Nithish Kumar Reddy,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",17,League
Rajasthan Royals,Gujarat Titans,10-04-2024,Gujarat Titans,field,Gujarat Titans,Rashid Khan,"Sawai Mansingh Stadium, Jaipur",17,League
Royal Challengers Bengaluru,Mumbai Indians,11-04-2024,Mumbai Indians,field,Mumbai Indians,JJ Bumrah,"Wankhede Stadium, Mumbai",17,League
Lucknow Super Giants,Delhi Capitals,12-04-2024,Lucknow Super Giants,bat,Delhi Capitals,Kuldeep Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",17,League
Punjab Kings,Rajasthan Royals,13-04-2024,Rajasthan Royals,field,Rajasthan Royals,SO Hetmyer,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",17,League
Chennai Super Kings,Mumbai Indians,14-04-2024,Mumbai Indians,field,Chennai Super Kings,M Pathirana,"Wankhede Stadium, Mumbai",17,League
Lucknow Super Giants,Kolkata Knight Riders,14-04-2024,Kolkata Knight Riders,field,Kolkata Knight Riders,PD Salt,"Eden Gardens, Kolkata",17,League
Sunrisers Hyderabad,Royal Challengers Bengaluru,15-04-2024,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,TM Head,"M Chinnaswamy Stadium, Bengaluru",17,League
Kolkata Knight Riders,Rajasthan Royals,16-04-2024,Rajasthan Royals,field,Rajasthan Royals,JC Buttler,"Eden Gardens, Kolkata",17,League
Gujarat Titans,Delhi Capitals,17-04-2024,Delhi Capitals,field,Delhi Capitals,RR Pant,"Narendra Modi Stadium, Ahmedabad",17,League
Mumbai Indians,Punjab Kings,18-04-2024,Punjab Kings,field,Mumbai Indians,JJ Bumrah,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",17,League
Chennai Super Kings,Lucknow Super Giants,19-04-2024,Lucknow Super Giants,field,Lucknow Super Giants,KL Rahul,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",17,League
Sunrisers Hyderabad,Delhi Capitals,20-04-2024,Delhi Capitals,field,Sunrisers Hyderabad,TM Head,"Arun Jaitley Stadium, Delhi",17,League
Kolkata Knight Riders,Royal Challengers Bengaluru,21-04-2024,Royal Challengers Bengaluru,field,Kolkata Knight Riders,AD Russell,"Eden Gardens, Kolkata",17,League
Punjab Kings,Gujarat Titans,21-04-2024,Punjab Kings,bat,Gujarat Titans,R Sai Kishore,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",17,League
Mumbai Indians,Rajasthan Royals,22-04-2024,Mumbai Indians,bat,Rajasthan Royals,Sandeep Sharma,"Sawai Mansingh Stadium, Jaipur",17,League
Chennai Super Kings,Lucknow Super Giants,23-04-2024,Lucknow Super Giants,field,Lucknow Super Giants,MP Stoinis,"MA Chidambaram Stadium, Chepauk, Chennai",17,League
Delhi Capitals,Gujarat Titans,24-04-2024,Gujarat Titans,field,Delhi Capitals,RR Pant,"Arun Jaitley Stadium, Delhi",17,League
Royal Challengers Bengaluru,Sunrisers Hyderabad,25-04-2024,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,RM Patidar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",17,League
Kolkata Knight Riders,Punjab Kings,26-04-2024,Punjab Kings,field,Punjab Kings,JM Bairstow,"Eden Gardens, Kolkata",17,League
Lucknow Super Giants,Rajasthan Royals,27-04-2024,Rajasthan Royals,field,Rajasthan Royals,SV Samson,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",17,League
Delhi Capitals,Mumbai Indians,27-04-2024,Mumbai Indians,field,Delhi Capitals,J Fraser-McGurk,"Arun Jaitley Stadium, Delhi",17,League
Chennai Super Kings,Sunrisers Hyderabad,28-04-2024,Sunrisers Hyderabad,field,Chennai Super Kings,RD Gaikwad,"MA Chidambaram Stadium, Chepauk, Chennai",17,League
Gujarat Titans,Royal Challengers Bengaluru,28-04-2024,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,WG Jacks,"Narendra Modi Stadium, Ahmedabad",17,League
Delhi Capitals,Kolkata Knight Riders,29-04-2024,Delhi Capitals,bat,Kolkata Knight Riders,CV Varun,"Eden Gardens, Kolkata",17,League
Mumbai Indians,Lucknow Super Giants,30-04-2024,Lucknow Super Giants,field,Lucknow Super Giants,MP Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",17,League
Chennai Super Kings,Punjab Kings,01-05-2024,Punjab Kings,field,Punjab Kings,Harpreet Brar,"MA Chidambaram Stadium, Chepauk, Chennai",17,League
Sunrisers Hyderabad,Rajasthan Royals,02-05-2024,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,B Kumar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",17,League
Kolkata Knight Riders,Mumbai Indians,03-05-2024,Mumbai Indians,field,Kolkata Knight Riders,VR Iyer,"Wankhede Stadium, Mumbai",17,League
Gujarat Titans,Royal Challengers Bengaluru,04-05-2024,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,Mohammed Siraj,"M Chinnaswamy Stadium, Bengaluru",17,League
